nuttcp-r: v8.1.3: socket
nuttcp-r: buflen=65536 nstream=1 port=8190 mode=tcp
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0970 retrans=0 cwnd=35730
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.2775 retrans=0 cwnd=37312
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0555 retrans=0 cwnd=38920
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0555 retrans=0 cwnd=40501
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0244 retrans=0 cwnd=42101
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.9413 retrans=0 cwnd=43691
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.3981 retrans=0 cwnd=45273
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0347 retrans=0 cwnd=46872
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0399 retrans=0 cwnd=48445
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0607 retrans=0 cwnd=50052
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=0 cwnd=51634
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0295 retrans=0 cwnd=53172
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0607 retrans=0 cwnd=54745
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.2828 retrans=0 cwnd=56344
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0866 retrans=0 cwnd=57943
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0192 retrans=0 cwnd=59507
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0399 retrans=0 cwnd=61089
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.7702 retrans=0 cwnd=62670
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.3352 retrans=0 cwnd=64313
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.1438 retrans=0 cwnd=65895
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.9569 retrans=0 cwnd=67459
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0607 retrans=0 cwnd=69084
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.2009 retrans=0 cwnd=70666
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.3404 retrans=0 cwnd=72265
megabytes=6.1250 real_sec=0.10 rate_Mbps=513.6584 retrans=0 cwnd=73821
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.1801 retrans=0 cwnd=75411
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.2880 retrans=0 cwnd=77001
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0295 retrans=0 cwnd=78600
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0347 retrans=0 cwnd=80191
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0711 retrans=0 cwnd=81720
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0763 retrans=0 cwnd=83328
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.9880 retrans=0 cwnd=84927
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.3457 retrans=0 cwnd=86517
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0192 retrans=0 cwnd=88116
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.9725 retrans=0 cwnd=89707
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.3404 retrans=0 cwnd=91288
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0711 retrans=0 cwnd=92870
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0399 retrans=0 cwnd=94469
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0711 retrans=0 cwnd=96059
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=0 cwnd=97650
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0555 retrans=0 cwnd=99231
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0347 retrans=0 cwnd=100822
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=0 cwnd=102421
megabytes=0.4375 real_sec=0.10 rate_Mbps=36.7002 retrans=0 cwnd=102543
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=102543
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=102543
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=102543
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=102543
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=102543
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=102543
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=102543
megabytes=0.9375 real_sec=0.10 rate_Mbps=78.6424 retrans=0 cwnd=102770
megabytes=9.1250 real_sec=0.10 rate_Mbps=765.3457 retrans=0 cwnd=105112
megabytes=9.9375 real_sec=0.10 rate_Mbps=833.8180 retrans=0 cwnd=107673
megabytes=9.9375 real_sec=0.10 rate_Mbps=833.2346 retrans=0 cwnd=110189
megabytes=12.0000 real_sec=0.10 rate_Mbps=1006.4719 retrans=0 cwnd=113186
megabytes=28.4375 real_sec=0.10 rate_Mbps=2386.7515 retrans=0 cwnd=120527
megabytes=8.1875 real_sec=0.10 rate_Mbps=686.6250 retrans=0 cwnd=122606
megabytes=4.6250 real_sec=0.10 rate_Mbps=387.9149 retrans=0 cwnd=123821
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.2736 retrans=0 cwnd=125411
megabytes=5.9375 real_sec=0.10 rate_Mbps=498.0686 retrans=0 cwnd=126906
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0659 retrans=4 cwnd=64112
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0555 retrans=183 cwnd=60722
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=180 cwnd=56029
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0347 retrans=182 cwnd=51328
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.2775 retrans=635 cwnd=53880
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0192 retrans=0 cwnd=53880
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0918 retrans=0 cwnd=53880
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0295 retrans=0 cwnd=53880
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0451 retrans=0 cwnd=53880
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.5888 retrans=0 cwnd=53880
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.4919 retrans=0 cwnd=53880
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.8272 retrans=0 cwnd=32113
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.2775 retrans=0 cwnd=32113
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.2736 retrans=0 cwnd=32113
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0555 retrans=0 cwnd=32113
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0347 retrans=0 cwnd=32113
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.7391 retrans=0 cwnd=32113
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.3515 retrans=0 cwnd=32113
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0555 retrans=0 cwnd=32113
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0555 retrans=0 cwnd=32113
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0244 retrans=0 cwnd=32113
megabytes=5.8750 real_sec=0.10 rate_Mbps=492.6090 retrans=0 cwnd=32113
megabytes=5.7500 real_sec=0.10 rate_Mbps=482.5669 retrans=0 cwnd=32113
megabytes=5.7500 real_sec=0.10 rate_Mbps=482.3401 retrans=0 cwnd=32113
megabytes=5.8125 real_sec=0.10 rate_Mbps=487.3149 retrans=0 cwnd=32113
megabytes=5.8125 real_sec=0.10 rate_Mbps=487.8610 retrans=0 cwnd=32113
megabytes=5.6250 real_sec=0.10 rate_Mbps=471.8545 retrans=0 cwnd=32113
megabytes=5.5625 real_sec=0.10 rate_Mbps=466.6210 retrans=0 cwnd=32113
megabytes=5.6250 real_sec=0.10 rate_Mbps=471.8639 retrans=0 cwnd=32113
megabytes=5.5625 real_sec=0.10 rate_Mbps=466.4204 retrans=0 cwnd=32113
megabytes=5.5625 real_sec=0.10 rate_Mbps=466.6023 retrans=0 cwnd=32113
megabytes=5.6250 real_sec=0.10 rate_Mbps=471.9300 retrans=0 cwnd=32113
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3781 retrans=0 cwnd=32113
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.0713 retrans=0 cwnd=32113
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.5119 retrans=0 cwnd=32113
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1944 retrans=0 cwnd=32113
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1169 retrans=0 cwnd=32113
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3781 retrans=0 cwnd=32113
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1488 retrans=0 cwnd=32113
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1169 retrans=0 cwnd=32113
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.8787 retrans=0 cwnd=32113
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1488 retrans=0 cwnd=32244
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1306 retrans=0 cwnd=32244
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.0986 retrans=0 cwnd=32244
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.6263 retrans=0 cwnd=32244
megabytes=5.3750 real_sec=0.10 rate_Mbps=451.1358 retrans=0 cwnd=32244
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.9508 retrans=0 cwnd=32244
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.8651 retrans=0 cwnd=32244
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.0941 retrans=0 cwnd=32244
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.9238 retrans=0 cwnd=32488
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1351 retrans=0 cwnd=32488
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.8381 retrans=0 cwnd=32488
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.9328 retrans=0 cwnd=32488
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.8967 retrans=0 cwnd=32488
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.8742 retrans=0 cwnd=32488
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.8922 retrans=0 cwnd=32488
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.0257 retrans=0 cwnd=32488
megabytes=5.3750 real_sec=0.10 rate_Mbps=451.0004 retrans=0 cwnd=32812
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.8922 retrans=0 cwnd=32812
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.7164 retrans=0 cwnd=32812
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.9914 retrans=0 cwnd=32812
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1899 retrans=0 cwnd=32820
megabytes=5.3125 real_sec=0.10 rate_Mbps=445.6493 retrans=0 cwnd=32820
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.0758 retrans=0 cwnd=32820
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.5948 retrans=0 cwnd=32820
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.4501 retrans=0 cwnd=33231
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.6623 retrans=0 cwnd=33231
megabytes=5.3750 real_sec=0.10 rate_Mbps=451.1313 retrans=0 cwnd=33231
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.8742 retrans=0 cwnd=33231
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1671 retrans=0 cwnd=33231
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.8877 retrans=0 cwnd=33231
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.8922 retrans=0 cwnd=33231
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.5813 retrans=0 cwnd=33231
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.4090 retrans=0 cwnd=33729
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.9012 retrans=0 cwnd=33729
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.8832 retrans=0 cwnd=33729
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1351 retrans=0 cwnd=33729
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.9102 retrans=0 cwnd=33738
megabytes=5.4375 real_sec=0.10 rate_Mbps=455.9163 retrans=0 cwnd=33738
megabytes=5.3750 real_sec=0.10 rate_Mbps=451.0862 retrans=0 cwnd=33738
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.0029 retrans=0 cwnd=34315
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.8020 retrans=0 cwnd=34315
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.3496 retrans=0 cwnd=34315
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1306 retrans=0 cwnd=34315
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.5002 retrans=0 cwnd=34315
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.5003 retrans=0 cwnd=34315
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.8877 retrans=0 cwnd=34323
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1579 retrans=0 cwnd=34323
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1078 retrans=0 cwnd=34979
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.6623 retrans=0 cwnd=34979
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.2583 retrans=0 cwnd=34979
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.0986 retrans=0 cwnd=34979
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.6669 retrans=0 cwnd=34988
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.2492 retrans=0 cwnd=34988
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1579 retrans=0 cwnd=34988
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1306 retrans=0 cwnd=34988
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.2446 retrans=0 cwnd=35722
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.9598 retrans=0 cwnd=35722
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3365 retrans=0 cwnd=35722
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.9418 retrans=0 cwnd=35722
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3688 retrans=0 cwnd=35730
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.8832 retrans=0 cwnd=35730
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1488 retrans=0 cwnd=35730
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3365 retrans=0 cwnd=35730
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.9102 retrans=0 cwnd=36543
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3919 retrans=0 cwnd=36543
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1306 retrans=0 cwnd=36543
megabytes=5.3750 real_sec=0.10 rate_Mbps=450.8426 retrans=0 cwnd=36543
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.4150 retrans=0 cwnd=36552
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1534 retrans=0 cwnd=36552
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1032 retrans=0 cwnd=36552
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3781 retrans=0 cwnd=36552
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.0850 retrans=0 cwnd=37426
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1762 retrans=0 cwnd=37434
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1306 retrans=0 cwnd=37434
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3227 retrans=0 cwnd=37434
megabytes=5.4375 real_sec=0.10 rate_Mbps=455.9527 retrans=0 cwnd=37434
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.3496 retrans=0 cwnd=37434
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1260 retrans=0 cwnd=37434
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.1383 retrans=0 cwnd=37443
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1442 retrans=0 cwnd=38387
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.0667 retrans=0 cwnd=38387
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.5350 retrans=0 cwnd=38387
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.0485 retrans=0 cwnd=38396
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.1244 retrans=0 cwnd=38396
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.3724 retrans=0 cwnd=38396
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.3268 retrans=0 cwnd=38396
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.1751 retrans=0 cwnd=39409
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3688 retrans=0 cwnd=39409
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1351 retrans=0 cwnd=39409
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.5858 retrans=0 cwnd=39418
megabytes=5.4375 real_sec=0.10 rate_Mbps=455.8434 retrans=0 cwnd=39418
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.5119 retrans=0 cwnd=39418
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.2857 retrans=0 cwnd=39418
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3781 retrans=0 cwnd=39418
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3734 retrans=0 cwnd=40493
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.0713 retrans=0 cwnd=40501
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.4380 retrans=0 cwnd=40501
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3181 retrans=0 cwnd=40501
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.4011 retrans=0 cwnd=40501
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1625 retrans=0 cwnd=40501
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3227 retrans=0 cwnd=40501
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.4427 retrans=0 cwnd=40510
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1032 retrans=0 cwnd=41637
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3734 retrans=0 cwnd=41637
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3781 retrans=0 cwnd=41646
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3734 retrans=0 cwnd=41646
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.2996 retrans=0 cwnd=41646
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.4657 retrans=0 cwnd=41646
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.0302 retrans=0 cwnd=41646
megabytes=5.5625 real_sec=0.10 rate_Mbps=466.6770 retrans=0 cwnd=41655
megabytes=5.4375 real_sec=0.10 rate_Mbps=455.9527 retrans=0 cwnd=42835
megabytes=5.5625 real_sec=0.10 rate_Mbps=466.8124 retrans=0 cwnd=42835
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3596 retrans=0 cwnd=42835
megabytes=5.4375 real_sec=0.10 rate_Mbps=455.9163 retrans=0 cwnd=42843
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3089 retrans=0 cwnd=42843
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.4565 retrans=0 cwnd=42843
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3734 retrans=0 cwnd=42843
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3227 retrans=0 cwnd=44075
megabytes=5.5625 real_sec=0.10 rate_Mbps=466.6257 retrans=0 cwnd=44084
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.3953 retrans=0 cwnd=44084
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.1936 retrans=0 cwnd=44084
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.5073 retrans=0 cwnd=44084
megabytes=5.5625 real_sec=0.10 rate_Mbps=466.6583 retrans=0 cwnd=44084
megabytes=5.4375 real_sec=0.10 rate_Mbps=456.1260 retrans=0 cwnd=44093
megabytes=5.5625 real_sec=0.10 rate_Mbps=466.5323 retrans=0 cwnd=44093
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.4750 retrans=0 cwnd=45377
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3504 retrans=0 cwnd=45386
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.1890 retrans=0 cwnd=45386
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.4703 retrans=0 cwnd=45386
megabytes=5.5625 real_sec=0.10 rate_Mbps=466.6163 retrans=0 cwnd=45386
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.4703 retrans=0 cwnd=45386
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3642 retrans=0 cwnd=45395
megabytes=5.5625 real_sec=0.10 rate_Mbps=466.6117 retrans=0 cwnd=45395
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3965 retrans=0 cwnd=46732
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3504 retrans=0 cwnd=46732
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3688 retrans=0 cwnd=46732
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3965 retrans=0 cwnd=46741
megabytes=5.5625 real_sec=0.10 rate_Mbps=466.6163 retrans=0 cwnd=46741
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3827 retrans=0 cwnd=46741
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.2627 retrans=0 cwnd=46741
megabytes=5.5625 real_sec=0.10 rate_Mbps=466.7330 retrans=0 cwnd=46741
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.3734 retrans=0 cwnd=48121
megabytes=5.5000 real_sec=0.10 rate_Mbps=461.1475 retrans=0 cwnd=48121
megabytes=3.1250 real_sec=0.10 rate_Mbps=262.1545 retrans=0 cwnd=48121
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=48121
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=48121
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=48121
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=48121
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=48121
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=48121
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=48121
megabytes=0.0000 real_sec=0.10 rate_Mbps=0.0000 retrans=0 cwnd=48121
megabytes=12.5625 real_sec=0.10 rate_Mbps=1053.7030 retrans=0 cwnd=48130
megabytes=51.5000 real_sec=0.10 rate_Mbps=4322.1213 retrans=0 cwnd=49563
megabytes=2.8750 real_sec=0.10 rate_Mbps=241.1532 retrans=0 cwnd=49563
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.8428 retrans=0 cwnd=51022
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0503 retrans=0 cwnd=51022
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.1645 retrans=0 cwnd=51022
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.1622 retrans=0 cwnd=51031
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.8065 retrans=0 cwnd=51031
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.3204 retrans=0 cwnd=51031
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.3100 retrans=0 cwnd=51031
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.7131 retrans=128 cwnd=25716
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0192 retrans=0 cwnd=25716
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.3775 retrans=0 cwnd=25716
megabytes=6.2500 real_sec=0.10 rate_Mbps=523.7642 retrans=0 cwnd=25716
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.5803 retrans=0 cwnd=25716
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0399 retrans=0 cwnd=25716
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0295 retrans=0 cwnd=25716
megabytes=6.1875 real_sec=0.10 rate_Mbps=519.0711 retrans=0 cwnd=25716
megabytes=6.2500 real_sec=0.10 rate_Mbps=524.3142 retrans=0 cwnd=25716
megabytes=6.1875 real_sec=0.10 rate_Mbps=518.9569 retrans=0 cwnd=25716
